CBNO,ILCE_CBNO,ADI,ALAN,CEVRE,NUFUS,POSTAKODU
331.00000,16.00000,KOPÇU,24047998.00000,21838.00000,567.00000,"38500"
796.00000,14.00000,KALE,8877429.00000,18711.00000,433.00000,"38750"
252.00000,3.00000,SARAYCIK,19123927.00000,21552.00000,449.00000,"38090"
276.00000,3.00000,DÜVER,50116668.00000,55090.00000,530.00000,"38090"
333.00000,16.00000,AĞCAŞAR,24370605.00000,27655.00000,163.00000,"38500"
334.00000,8.00000,YAHYALI,22526610.00000,28015.00000,126.00000,"38820"
285.00000,14.00000,İSABEY,30699034.00000,37666.00000,349.00000,"38750"
337.00000,16.00000,KUZOLUK,19540178.00000,22509.00000,45.00000,"38500"
338.00000,8.00000,BURUNÖREN,15786690.00000,21016.00000,109.00000,"38820"
339.00000,16.00000,SAZAK,22849400.00000,22720.00000,118.00000,"38500"
340.00000,16.00000,DİKME,17836597.00000,21908.00000,270.00000,"38500"
341.00000,16.00000,KARAKÖY,86120974.00000,45108.00000,892.00000,"38500"
342.00000,16.00000,DELİALİUŞAĞI,44560916.00000,34941.00000,689.00000,"38500"
344.00000,8.00000,ÜZERLİK,26934040.00000,37741.00000,382.00000,"38820"
345.00000,8.00000,GÜZELYAZI,28321791.00000,27379.00000,1225.00000,"38820"
350.00000,8.00000,TATILI,41208795.00000,37306.00000,506.00000,"38820"
336.00000,16.00000,FETULLAH,7357985.00000,13664.00000,741.00000,"38500"
346.00000,16.00000,BALCIÇAKIRI,52589327.00000,35235.00000,803.00000,"38500"
683.00000,10.00000,İĞDELİPAYASLI,16962200.00000,24746.00000,89.00000,"38700"
805.00000,10.00000,GÜNEY,1093098.00000,5299.00000,750.00000,"38700"
847.00000,8.00000,HÜRRİYET,14044569.00000,19403.00000,1224.00000,
54.00000,3.00000,CAMİKEBİR,3781189.00000,11176.00000,7512.00000,"38050"
348.00000,16.00000,ÇUBUKHARMANI,71802601.00000,39749.00000,360.00000,"38500"
351.00000,8.00000,ÇİFTLİK,49153717.00000,45877.00000,1226.00000,"38820"
352.00000,8.00000,DÜZENCİK,11558599.00000,18970.00000,115.00000,"38820"
353.00000,16.00000,BURHANİYE,49775934.00000,35593.00000,96.00000,"38500"
354.00000,16.00000,BÜYÜKÇAKIR,124180522.00000,72341.00000,1368.00000,"38500"
368.00000,8.00000,ÖMERHACILI,19772057.00000,20235.00000,205.00000,"38820"
370.00000,8.00000,GAZİLER,48285499.00000,40287.00000,330.00000,"38820"
378.00000,9.00000,YENİ,6415638.00000,19076.00000,644.00000,"38830"
379.00000,16.00000,MUSTAFABEYLİ,11537196.00000,20550.00000,454.00000,"38500"
567.00000,13.00000,BEKTAŞ,10832853.00000,16563.00000,31.00000,"38900"
407.00000,11.00000,ARAPLI,34357223.00000,27934.00000,143.00000,"38800"
377.00000,9.00000,ŞEN,12098672.00000,18443.00000,266.00000,"38830"
382.00000,16.00000,100.YIL,2218469.00000,8312.00000,3358.00000,"38500"
384.00000,16.00000,ÇİĞİLLİ,24317467.00000,27680.00000,2391.00000,"38500"
386.00000,16.00000,SEYDİLİ,877569.00000,4157.00000,4976.00000,"38500"
387.00000,9.00000,GANİŞEYH,59076817.00000,56022.00000,447.00000,"38830"
397.00000,11.00000,MUSAHACILI,32636014.00000,23968.00000,894.00000,"38800"
393.00000,9.00000,KULULU,44799411.00000,62754.00000,534.00000,"38830"
394.00000,16.00000,CAMİKEBİR,61144.00000,1232.00000,346.00000,"38500"
399.00000,9.00000,GÖMÜRGEN YENİ,64082021.00000,64449.00000,540.00000,"38830"
401.00000,11.00000,OVAÇİFTLİK,16478250.00000,18831.00000,364.00000,"38800"
403.00000,11.00000,KAYADİBİ,16864642.00000,21510.00000,858.00000,"38800"
390.00000,9.00000,GİRİNCİ,29611978.00000,24716.00000,216.00000,"38830"
400.00000,11.00000,YEŞİLOVA,27026987.00000,25566.00000,331.00000,"38800"
411.00000,5.00000,SOSUN,11787458.00000,20893.00000,179.00000,"38300"
414.00000,11.00000,SOĞANLI,24330691.00000,35350.00000,304.00000,"38800"
415.00000,11.00000,GÜZELÖZ,49173754.00000,46077.00000,314.00000,"38800"
416.00000,5.00000,ARDIÇ,10676941.00000,23584.00000,123.00000,"38300"
417.00000,5.00000,SAKALTUTAN,16400045.00000,27593.00000,429.00000,"38300"
418.00000,5.00000,KAMBER,27617986.00000,33842.00000,456.00000,"38300"
422.00000,11.00000,KEŞLİK,38268139.00000,32269.00000,67.00000,"38800"
423.00000,5.00000,ALAYBEYLİ,24649947.00000,32605.00000,555.00000,"38300"
425.00000,11.00000,GÜLBAYIR,48890006.00000,34779.00000,365.00000,"38800"
430.00000,15.00000,KALEKÖY,59901422.00000,45057.00000,169.00000,"38400"
395.00000,16.00000,MADAZI,319531.00000,2926.00000,235.00000,"38500"
402.00000,11.00000,KOVALI,24988797.00000,26310.00000,727.00000,"38800"
406.00000,11.00000,BÜGET,12154645.00000,23242.00000,103.00000,"38800"
409.00000,5.00000,ÖRENCİK,13524133.00000,23730.00000,293.00000,"38300"
410.00000,5.00000,YAMAÇLI,12216487.00000,28757.00000,335.00000,"38300"
412.00000,5.00000,SÜLEYMANLI,21873210.00000,41140.00000,530.00000,"38300"
413.00000,11.00000,AKKÖY,22646022.00000,38468.00000,55.00000,"38800"
